#SampleID	Date	Week	Year	Location	Tissue	Replicate	Sample_or_Control	Run	Product	Stage	Fortnight	Name	SiteYear
Sample108	6.1.20	5	2020	SWMREC	Leaf	1	True Sample	Run2	Leaf	Set	3	6-1-20-LM-1	SWMREC
Sample109	6.1.20	5	2020	SWMREC	Leaf	2	True Sample	Run2	Leaf	Set	3	6-1-20-LM-2	SWMREC
Sample110	6.1.20	5	2020	SWMREC	Leaf	3	True Sample	Run2	Leaf	Set	3	6-1-20-LM-3	SWMREC
Sample111	6.1.20	5	2020	SWMREC	Leaf	4	True Sample	Run2	Leaf	Set	3	6-1-20-LM-4	SWMREC
Sample112	6.1.20	5	2020	SWMREC	Stem	1	True Sample	Run2	Stem	Set	3	6-1-20-SM-1	SWMREC
Sample113	6.1.20	5	2020	SWMREC	Stem	2	True Sample	Run2	Stem	Set	3	6-1-20-SM-2	SWMREC
Sample114	6.1.20	5	2020	SWMREC	Stem	3	True Sample	Run2	Stem	Set	3	6-1-20-SM-3	SWMREC
Sample115	6.1.20	5	2020	SWMREC	Stem	4	True Sample	Run2	Stem	Set	3	6-1-20-SM-4	SWMREC
Sample116	6.3.21	5	2021	PLP	Green	1	True Sample	Run1	Fruit	Set	3	6-3-21-GP-1	PLP21
Sample117	6.3.21	5	2021	PLP	Green	2	True Sample	Run1	Fruit	Set	3	6-3-21-GP-2	PLP21
Sample118	6.3.21	5	2021	PLP	Green	3	True Sample	Run1	Fruit	Set	3	6-3-21-GP-3	PLP21
Sample119	6.3.21	5	2021	PLP	Green	4	True Sample	Run1	Fruit	Set	3	6-3-21-GP-4	PLP21
Sample120	6.3.21	5	2021	PLP	Leaf	1	True Sample	Run1	Leaf	Set	3	6-3-21-LP-1	PLP21
Sample121	6.3.21	5	2021	PLP	Leaf	2	True Sample	Run1	Leaf	Set	3	6-3-21-LP-2	PLP21
Sample122	6.3.21	5	2021	PLP	Leaf	3	True Sample	Run1	Leaf	Set	3	6-3-21-LP-3	PLP21
Sample123	6.3.21	5	2021	PLP	Leaf	4	True Sample	Run1	Leaf	Set	3	6-3-21-LP-4	PLP21
Sample124	6.3.21	5	2021	PLP	Stem	1	True Sample	Run2	Stem	Set	3	6-3-21-SP-1	PLP21
Sample125	6.3.21	5	2021	PLP	Stem	2	True Sample	Run2	Stem	Set	3	6-3-21-SP-2	PLP21
Sample126	6.3.21	5	2021	PLP	Stem	3	True Sample	Run2	Stem	Set	3	6-3-21-SP-3	PLP21
Sample127	6.3.21	5	2021	PLP	Stem	4	True Sample	Run2	Stem	Set	3	6-3-21-SP-4	PLP21
Sample128	6.6.20	6	2020	PLP	Flower	1	True Sample	Run1	Fruit	Bloom	3	6-6-20-FP-1	PLP20
Sample129	6.6.20	6	2020	PLP	Flower	2	True Sample	Run1	Fruit	Bloom	3	6-6-20-FP-2	PLP20
Sample130	6.6.20	6	2020	PLP	Flower	3	True Sample	Run1	Fruit	Bloom	3	6-6-20-FP-3	PLP20
Sample131	6.6.20	6	2020	PLP	Flower	4	True Sample	Run1	Fruit	Bloom	3	6-6-20-FP-4	PLP20
Sample132	6.6.20	6	2020	PLP	Green	1	True Sample	Run1	Fruit	Set	3	6-6-20-GP-1	PLP20
Sample133	6.6.20	6	2020	PLP	Green	2	True Sample	Run1	Fruit	Set	3	6-6-20-GP-2	PLP20
Sample134	6.6.20	6	2020	PLP	Green	3	True Sample	Run1	Fruit	Set	3	6-6-20-GP-3	PLP20
Sample135	6.6.20	6	2020	PLP	Leaf	1	True Sample	Run1	Leaf	Set	3	6-6-20-LP-1	PLP20
Sample136	6.6.20	6	2020	PLP	Leaf	2	True Sample	Run1	Leaf	Set	3	6-6-20-LP-2	PLP20
Sample137	6.6.20	6	2020	PLP	Leaf	3	True Sample	Run1	Leaf	Set	3	6-6-20-LP-3	PLP20
Sample138	6.6.20	6	2020	PLP	Leaf	4	True Sample	Run1	Leaf	Set	3	6-6-20-LP-4	PLP20
Sample139	6.6.20	6	2020	PLP	Stem	1	True Sample	Run2	Stem	Set	3	6-6-20-SP-1	PLP20
