OTU,Kingdom,Phylum,Class,Order,Family,Genus,primary_lifestyle,Secondary_lifestyle,Endophytic_interaction_capability_template,Decay_substrate_template,Aquatic_habitat_template,Growth_form_template,Fruitbody_type_template,Hymenium_type_template
OTU_126,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,unspecified_saprotroph,0,foliar_endophyte,"leaf/fruit/seed,soil,dung,animal_material",partly_aquatic,yeast,0,0
OTU_129,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,mycoparasite,fungal_decomposer,0,fungal_material,partly_aquatic,dimorphic_yeast,0,0
OTU_130,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,soil_saprotroph,root-associated,root-associated,"roots,soil",partly_aquatic,yeast,none,none
OTU_133,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Udeniomyces,unspecified_saprotroph,epiphyte,0,leaf/fruit/seed,non-aquatic,yeast,0,0
OTU_135,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,mycoparasite,fungal_decomposer,0,fungal_material,partly_aquatic,dimorphic_yeast,0,0
OTU_137,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unspecified_saprotroph,0,0,unspecified,non-aquatic,dimorphic_yeast,0,0
OTU_142,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Exidia,wood_saprotroph,0,foliar_endophyte,"wood,leaf/fruit/seed",non-aquatic,filamentous_mycelium,tremelloid,smooth
OTU_143,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Irpex,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,corticioid,hydnoid
OTU_156,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Genolevuria,unspecified_saprotroph,epiphyte,0,leaf/fruit/seed,non-aquatic,yeast,0,0
OTU_157,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,animal_parasite,animal_decomposer,0,animal_material,partly_freshwater_(partly_non-aquatic),yeast,0,0
OTU_160,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,mycoparasite,fungal_decomposer,0,fungal_material,partly_aquatic,dimorphic_yeast,0,0
OTU_165,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,mycoparasite,fungal_decomposer,0,fungal_material,partly_aquatic,dimorphic_yeast,0,0
OTU_169,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Melampsoraceae,Melampsora,plant_pathogen,plant_pathogen,no_endophytic_capacity,0,non-aquatic,filamentous_mycelium,rust,other
OTU_170,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,soil_saprotroph,root-associated,root-associated,"roots,soil",partly_aquatic,yeast,none,none
OTU_175,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,unspecified_saprotroph,0,0,sugar-rich_substrates,non-aquatic,filamentous_mycelium,none,none
OTU_177,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,litter_saprotroph,0,0,leaf/fruit/seed,non-aquatic,yeast,0,0
OTU_181,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_182,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Itersonilia,plant_pathogen,0,0,0,non-aquatic,dimorphic_yeast,0,0
OTU_184,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,litter_saprotroph,0,0,leaf/fruit/seed,non-aquatic,yeast,0,0
OTU_193,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Exobasidiaceae,Exobasidium,plant_pathogen,0,no_endophytic_capacity,leaf/fruit/seed,non-aquatic,filamentous_mycelium,none,none
OTU_196,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Exidia,wood_saprotroph,0,foliar_endophyte,"wood,leaf/fruit/seed",non-aquatic,filamentous_mycelium,tremelloid,smooth
OTU_198,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,mycoparasite,fungal_decomposer,0,fungal_material,partly_aquatic,dimorphic_yeast,0,0
OTU_200,Fungi,Basidiomycota,Cystobasidiomycetes,,Symmetrosporaceae,Symmetrospora,epiphyte,0,no_endophytic_capacity,leaf/fruit/seed,partly_marine_(partly_non-aquatic),yeast,none,none
OTU_203,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,soil_saprotroph,0,0,soil,non-aquatic,yeast,0,0
OTU_205,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Fonsecazyma,unspecified_saprotroph,0,0,unspecified,non-aquatic,yeast,0,0
OTU_208,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unspecified_saprotroph,0,0,unspecified,non-aquatic,dimorphic_yeast,0,0
OTU_211,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_219,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_223,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Bensingtonia,unspecified_saprotroph,0,0,unspecified,0,dimorphic_yeast,0,0
OTU_231,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Cystobasidium,mycoparasite,0,no_endophytic_capacity,fungal_material,partly_marine_(partly_non-aquatic),dimorphic_yeast,none,none
OTU_232,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,animal_parasite,animal_decomposer,0,animal_material,partly_freshwater_(partly_non-aquatic),yeast,0,0
OTU_233,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,soil_saprotroph,root-associated,root-associated,"roots,soil",partly_aquatic,yeast,none,none
OTU_236,Fungi,Basidiomycota,Tremellomycetes,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_238,Fungi,Basidiomycota,Tremellomycetes,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_239,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,wood_saprotroph,plant_pathogen,0,wood,non-aquatic,filamentous_mycelium,corticioid,smooth
OTU_244,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,unspecified_saprotroph,0,0,unspecified,0,dimorphic_yeast,0,0
OTU_247,Fungi,Basidiomycota,Cystobasidiomycetes,,Symmetrosporaceae,Symmetrospora,epiphyte,0,no_endophytic_capacity,leaf/fruit/seed,partly_marine_(partly_non-aquatic),yeast,none,none
OTU_254,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_255,Fungi,Basidiomycota,Pucciniomycetes,Platygloeales,Platygloeaceae,Insolibasidium,plant_pathogen,plant_pathogen,no_endophytic_capacity,0,non-aquatic,filamentous_mycelium,none,none
OTU_259,Fungi,Basidiomycota,Exobasidiomycetes,Microstromatales,,Pseudomicrostroma,plant_pathogen,0,no_endophytic_capacity,leaf/fruit/seed,non-aquatic,dimorphic_yeast,none,none
OTU_260,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,soil_saprotroph,0,0,soil,non-aquatic,yeast,0,0
OTU_264,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_265,Fungi,Basidiomycota,Exobasidiomycetes,Entylomatales,Entylomataceae,Entyloma,plant_pathogen,0,no_endophytic_capacity,0,non-aquatic,filamentous_mycelium,smut,other
OTU_266,Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_267,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Genolevuria,unspecified_saprotroph,epiphyte,0,leaf/fruit/seed,non-aquatic,yeast,0,0
